"Year"|"Company"|"Old FV"|"New FV"|"Split Date"
"2009"|"Gennex Labs"|"10"|"1"|"14-12-2009"
"2009"|"Kwality"|"10"|"1"|"10-12-2009"
"2009"|"Intl Conveyor"|"10"|"1"|"10-12-2009"
"2009"|"Jindal Saw"|"10"|"2"|"10-12-2009"
"2009"|"Munoth Capital"|"10"|"5"|"09-12-2009"
"2009"|"Ashco Niulab"|"10"|"1"|"08-12-2009"
"2009"|"Flawless Diamon"|"10"|"1"|"03-12-2009"
"2009"|"Vintron Ind"|"10"|"1"|"27-11-2009"
"2009"|"HBL Power"|"10"|"1"|"24-11-2009"
"2009"|"Allcargo"|"10"|"2"|"19-11-2009"
"2009"|"Sigrun Holdings"|"10"|"1"|"19-11-2009"
"2009"|"Hind Nat Glass"|"10"|"2"|"12-11-2009"
"2009"|"Allied Digital"|"10"|"5"|"11-11-2009"
"2009"|"Madhucon Proj"|"2"|"1"|"05-11-2009"
"2009"|"Yantra Natural"|"10"|"1"|"04-11-2009"
"2009"|"Vinati Organics"|"10"|"2"|"30-10-2009"
"2009"|"Baba Arts"|"4"|"1"|"29-10-2009"
"2009"|"Sturdy Ind"|"10"|"2"|"29-10-2009"
"2009"|"KCL Infra"|"100"|"2"|"29-10-2009"
"2009"|"Educomp Sol"|"10"|"2"|"27-10-2009"
"2009"|"REI Six Ten"|"10"|"2"|"26-10-2009"
"2009"|"Gammon Infra"|"10"|"2"|"26-10-2009"
"2009"|"Birla Cotsyn"|"10"|"1"|"23-10-2009"
"2009"|"FCS Software"|"10"|"1"|"15-10-2009"
"2009"|"Trimurthi"|"10"|"1"|"15-10-2009"
"2009"|"Marsons"|"2"|"10"|"14-10-2009"
"2009"|"Gokul Refoils"|"10"|"2"|"14-10-2009"
"2009"|"Comfort"|"10"|"1"|"14-10-2009"
"2009"|"Sunteck Realty"|"10"|"2"|"09-10-2009"
"2009"|"Supertex Ind"|"10"|"1"|"08-10-2009"
"2009"|"Menon Bearings"|"10"|"5"|"08-10-2009"
"2009"|"GMR Infra"|"2"|"1"|"01-10-2009"
"2009"|"Falcon Tyres"|"10"|"5"|"25-09-2009"
"2009"|"Arcotech"|"2"|"10"|"25-09-2009"
"2009"|"SKS"|"2"|"10"|"25-09-2009"
"2009"|"Winsome Textile"|"10"|"1"|"24-09-2009"
"2009"|"MVL"|"10"|"2"|"18-09-2009"
"2009"|"Rajoo Engineers"|"10"|"1"|"17-09-2009"
"2009"|"ILandFS"|"10"|"2"|"16-09-2009"
"2009"|"Ramcoind"|"10"|"1"|"14-09-2009"
"2009"|"Anjani Synth"|"10"|"1"|"08-09-2009"
"2009"|"Veer Energy"|"10"|"1"|"04-09-2009"
"2009"|"SJ Corporation"|"10"|"1"|"28-08-2009"
"2009"|"Zyden Gentec"|"10"|"1"|"27-08-2009"
"2009"|"Ashtavinayak"|"10"|"1"|"20-08-2009"
"2009"|"ACIL Cotton Ind"|"10"|"5"|"14-08-2009"
"2009"|"Austral Coke"|"10"|"1"|"07-08-2009"
"2009"|"KGN Industries"|"10"|"1"|"07-08-2009"
"2009"|"Avance Tech"|"10"|"1"|"03-08-2009"
"2009"|"Radhe Developer"|"10"|"1"|"30-07-2009"
"2009"|"Bharti Airtel"|"10"|"5"|"24-07-2009"
"2009"|"JMD Ventures"|"10"|"1"|"03-07-2009"
"2009"|"Indiaco Venture"|"10"|"2"|"19-06-2009"
"2009"|"Good Luck"|"10"|"2"|"12-06-2009"
"2009"|"Anus Labs"|"10"|"1"|"11-05-2009"
"2009"|"Alka Secur"|"2"|"1"|"06-05-2009"
"2009"|"Birla Power Sol"|"10"|"1"|"24-04-2009"
"2009"|"AMJ Land Add to Watchlist"|"10"|"2"|"23-03-2009"
"2009"|"Lincoln Pharma"|"2"|"10"|"19-03-2009"
"2009"|"Sarang Chem"|"10"|"1"|"17-03-2009"
"2009"|"Coral Hub"|"10"|"1"|"27-02-2009"
"2009"|"Trinethra Infra"|"10"|"2"|"26-02-2009"
"2009"|"Rei Agro"|"10"|"1"|"05-02-2009"
"2009"|"Spectacle"|"10"|"1"|"23-01-2009"
"2009"|"Sanraa Media"|"10"|"1"|"20-01-2009"
"2009"|"State Bk Mysore"|"100"|"10"|"07-01-2009"
"2009"|"Texmaco Infra"|"10"|"1"|"01-01-2009"
"2010"|"KEC Intl"|"10"|"2"|"30-12-2010"
"2010"|"LIC Housing Fin"|"10"|"2"|"30-12-2010"
"2010"|"SVC Resources"|"2"|"1"|"29-12-2010"
"2010"|"EID Parry"|"2"|"1"|"23-12-2010"
"2010"|"Coromandel Int"|"2"|"1"|"23-12-2010"
"2010"|"Surya Pharma"|"10"|"1"|"23-12-2010"
"2010"|"Balkrishna Ind"|"10"|"2"|"20-12-2010"
"2010"|"Tribhuvan House"|"5"|"1"|"13-12-2010"
"2010"|"ACIL Cotton Ind"|"5"|"1"|"09-12-2010"
"2010"|"Sadbhav Engg"|"10"|"1"|"07-12-2010"
"2010"|"Sun Pharma"|"5"|"1"|"25-11-2010"
"2010"|"Greaves Cotton"|"10"|"2"|"24-11-2010"
"2010"|"Balaji Amines"|"10"|"2"|"18-11-2010"
"2010"|"MVL"|"2"|"1"|"16-11-2010"
"2010"|"Somany Ceramics"|"10"|"2"|"11-11-2010"
"2010"|"Oriental Hotels"|"10"|"1"|"10-11-2010"
"2010"|"Standard Batter"|"1"|"1"|"09-11-2010"
"2010"|"JVL Agro Ind"|"10"|"1"|"09-11-2010"
"2010"|"Global Cap Mkts"|"10"|"1"|"08-11-2010"
"2010"|"Atlanta"|"10"|"2"|"08-11-2010"
"2010"|"Himadri Special"|"10"|"1"|"08-11-2010"
"2010"|"Super Tannery"|"2"|"1"|"04-11-2010"
"2010"|"Nitin Fire Prot"|"10"|"2"|"04-11-2010"
"2010"|"IFL Promoters"|"10"|"5"|"03-11-2010"
"2010"|"Asahi Infra"|"1"|"10"|"03-11-2010"
"2010"|"Archies"|"10"|"2"|"02-11-2010"
"2010"|"Gangotri Iron"|"10"|"5"|"29-10-2010"
"2010"|"Prime Focus"|"10"|"1"|"29-10-2010"
"2010"|"JISL"|"10"|"2"|"29-10-2010"
"2010"|"Paisalo Digital"|"2"|"1"|"29-10-2010"
"2010"|"Jain Irrigation"|"10"|"2"|"29-10-2010"
"2010"|"Sintex Ind"|"2"|"1"|"27-10-2010"
"2010"|"Genus Power"|"10"|"1"|"22-10-2010"
"2010"|"Unichem Labs"|"5"|"2"|"21-10-2010"
"2010"|"Sezal Glass"|"10"|"1"|"21-10-2010"
"2010"|"Parsvnath"|"10"|"5"|"18-10-2010"
"2010"|"Supreme Ind"|"10"|"2"|"18-10-2010"
"2010"|"Ram Ratna Wires"|"10"|"5"|"14-10-2010"
"2010"|"Responsive Ind"|"10"|"1"|"08-10-2010"
"2010"|"Diamant Infra"|"10"|"2"|"07-10-2010"
"2010"|"Rockon Fintech"|"10"|"5"|"06-10-2010"
"2010"|"Trimurthi"|"1"|"10"|"04-10-2010"
"2010"|"Aqua Logistics"|"10"|"1"|"01-10-2010"
"2010"|"BL Kashyap"|"5"|"1"|"29-09-2010"
"2010"|"Tirupati Sarjan"|"10"|"5"|"28-09-2010"
"2010"|"Nissan Copper"|"10"|"1"|"27-09-2010"
"2010"|"Shree Nath Comm"|"10"|"1"|"24-09-2010"
"2010"|"DB (Int) Stock"|"10"|"2"|"24-09-2010"
"2010"|"Arihant Capital"|"10"|"5"|"23-09-2010"
"2010"|"South Ind Bk"|"10"|"1"|"23-09-2010"
"2010"|"Adani Ports"|"10"|"2"|"23-09-2010"
"2010"|"Mahalaxmi Rub"|"10"|"1"|"23-09-2010"
"2010"|"Aarya Global"|"10"|"1"|"23-09-2010"
"2010"|"Ashco Niulab"|"1"|"10"|"21-09-2010"
"2010"|"Tata Steel BSL Add to Watchlist"|"10"|"2"|"21-09-2010"
"2010"|"Astral Poly Tec"|"10"|"5"|"15-09-2010"
"2010"|"Resurgere Mines"|"10"|"1"|"15-09-2010"
"2010"|"Kotak Mahindra"|"10"|"5"|"13-09-2010"
"2010"|"Britannia"|"10"|"2"|"08-09-2010"
"2010"|"Kalpataru Power"|"10"|"2"|"08-09-2010"
"2010"|"Shree Rang Mark"|"10"|"5"|"07-09-2010"
"2010"|"KCP"|"10"|"1"|"02-09-2010"
"2010"|"Apollo Hospital"|"10"|"5"|"02-09-2010"
"2010"|"Dhanuka Agritec"|"10"|"2"|"02-09-2010"
"2010"|"Indian Hume"|"10"|"2"|"30-08-2010"
"2010"|"Lupin"|"10"|"2"|"27-08-2010"
"2010"|"Redington"|"10"|"2"|"20-08-2010"
"2010"|"HDFC"|"10"|"2"|"18-08-2010"
"2010"|"Magma Fincorp"|"10"|"2"|"13-08-2010"
"2010"|"Gemstone Inv"|"10"|"1"|"13-08-2010"
"2010"|"Jayshree Tea"|"10"|"5"|"13-08-2010"
"2010"|"Rainbow Papers"|"10"|"2"|"11-08-2010"
"2010"|"Edelweiss"|"5"|"1"|"10-08-2010"
"2010"|"Farmax India"|"5"|"1"|"03-08-2010"
"2010"|"Pratibha Ind"|"10"|"2"|"30-07-2010"
"2010"|"MMTC Ltd"|"10"|"1"|"29-07-2010"
"2010"|"Luharuka Media Add to Watchlist"|"10"|"1"|"29-07-2010"
"2010"|"Emami"|"2"|"1"|"21-07-2010"
"2010"|"EICL"|"10"|"2"|"07-07-2010"
"2010"|"Tulip Telecom"|"10"|"2"|"06-07-2010"
"2010"|"Kriptol Ind"|"10"|"5"|"02-07-2010"
